workers,energy_yield_ps1,energy_yield_ps2,energy_yield_ps3,energy_block_ps1,energy_block_ps2,energy_block_ps3
1,77.040000000000006,304.5,1233.3,107.89,295.89999999999998,1389.55
2,56.719999999999999,222.89000000000001,888.26999999999998,69.96,247.16,934.26999999999998
4,48.619999999999997,195.68000000000001,764.94000000000005,54.480000000000004,199.60999999999999,788.17999999999995
8,35.130000000000003,141.51000000000002,483.44999999999999,46,136.63999999999999,509.90999999999997
16,46.200000000000003,145.25,504.70000000000005,55.609999999999999,149.71000000000001,550.9799999999999
