  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.68
2                       9.55
4                      19.04
8                      38.22
16                     65.01
32                    139.78
64                    220.05
128                   360.93
256                   619.21
512                  1359.37
1024                 2444.31
2048                 4104.64
4096                 1210.40
8192                 1971.16
16384                2719.93
32768                3678.78
65536                4583.63
131072               5247.81
262144               5664.31
524288               5851.58
1048576              6003.14
2097152              5885.20
4194304              1603.87
