  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.74
2                       9.56
4                      19.21
8                      38.26
16                     70.08
32                    138.70
64                    220.69
128                   369.29
256                   623.22
512                  1373.70
1024                 2505.09
2048                 4196.21
4096                 1273.76
8192                 1978.83
16384                2702.75
32768                3687.14
65536                4549.33
131072               5263.93
262144               5701.96
524288               5945.96
1048576              5692.54
2097152              5542.92
4194304              1604.38
