  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.44
1                       0.53
2                       0.53
4                       0.53
8                       0.52
16                      0.51
32                      0.51
64                      0.55
128                     0.60
256                     0.65
512                     0.89
1024                    1.04
2048                    1.36
4096                    4.02
8192                    4.93
16384                   6.72
32768                   9.38
65536                  14.82
131072                 25.48
262144                 46.81
524288                 89.63
1048576               179.65
2097152              1301.82
4194304              2903.21
