  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.71
2                       9.53
4                      19.14
8                      38.36
16                     68.60
32                    137.40
64                    219.76
128                   361.07
256                   614.76
512                  1356.98
1024                 2472.40
2048                 4150.87
4096                 1530.57
8192                 2304.20
16384                3042.79
32768                4009.60
65536                4831.24
131072               5446.75
262144               5819.78
524288               6010.17
1048576              5866.47
2097152              5646.81
4194304              1616.88
