  Loading openmpi/4.0.3 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.62
2                       9.45
4                      18.87
8                      37.74
16                     67.12
32                    134.76
64                    210.77
128                   363.08
256                   620.74
512                  1362.75
1024                 2466.77
2048                 4162.40
4096                 1248.87
8192                 2000.19
16384                2673.80
32768                4028.12
65536                4861.38
131072               5477.74
262144               5877.03
524288               6065.85
1048576              5826.08
2097152              5630.78
4194304              1632.19
