N,t1,t2,t4,t8
10000,0.00032100,0.00017400,0.00013100,0.00009600
100000,0.00312300,0.00159100,0.00083000,0.00046200
1000000,0.03096900,0.01552200,0.00782200,0.00394500
10000000,0.30951900,0.15502300,0.07773900,0.03897800
100000000,3.09282000,1.54921000,0.77610300,0.38776000
1000000000,30.93030000,15.49440000,7.75746000,3.87784000
